,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0,64.0,6.940e-01,0.610,2.174e+05,0.590,2.320e-06,0.150,-7.325,0.036,137.838,0.352,
1,31.0,7.390e-01,0.565,2.605e+05,0.393,8.450e-04,0.143,-9.309,0.024,75.537,0.229,Anime
2,57.0,8.790e-03,0.433,2.629e+05,0.815,0.000e+00,0.138,-3.658,,125.358,0.461,Rock
3,63.0,1.050e-02,0.359,5.639e+05,0.762,2.810e-01,0.368,-8.323,0.032,89.259,0.167,Rock
4,,3.010e-01,0.511,,0.699,,0.088,,0.037,120.406,0.496,Anime
5,65.0,,0.491,-1.000e+00,,2.780e-06,0.626,-6.564,0.028,112.704,0.407,Rock
6,44.0,7.100e-01,0.627,,0.496,,0.343,-11.866,0.040,95.000,0.080,Electronic
7,48.0,,0.540,3.500e+05,,4.680e-02,0.599,,0.035,86.054,0.243,Jazz
8,67.0,5.310e-04,0.502,,0.685,,0.092,-5.847,0.028,81.978,0.574,Rock
9,52.0,,0.835,1.707e+05,,0.000e+00,0.304,-4.052,0.247,122.019,0.833,Rap
10,58.0,8.440e-02,0.593,-1.000e+00,0.837,0.000e+00,0.148,-4.834,0.030,99.947,0.569,Rock
11,38.0,1.100e-01,0.418,3.182e+05,0.652,5.350e-01,0.354,-11.112,0.075,80.451,0.607,Jazz
12,57.0,7.860e-01,0.127,2.887e+05,0.335,4.270e-01,0.111,-8.298,0.033,77.078,0.069,Alternative
13,53.0,1.570e-02,0.663,2.126e+05,0.777,8.290e-03,0.075,-5.496,0.037,143.003,0.940,Rock
14,28.0,8.200e-02,,2.107e+05,0.948,1.170e-02,0.968,-4.517,0.101,161.473,,Blues
15,50.0,5.060e-02,0.663,1.257e+05,0.738,0.000e+00,0.089,-6.958,0.400,184.078,0.544,Rap
16,56.0,,0.705,2.738e+05,,0.000e+00,0.176,-6.397,0.396,71.666,0.350,Rap
17,74.0,3.110e-01,0.644,,0.501,,,-8.959,0.492,,0.173,Rap
18,54.0,5.350e-03,0.413,2.314e+05,0.885,1.970e-06,0.166,-7.695,0.078,113.807,0.211,Alternative
19,52.0,2.490e-02,0.494,,0.836,,,-4.327,,,0.627,Rock
20,53.0,5.410e-02,0.651,2.696e+05,0.875,9.840e-03,0.025,-4.349,0.041,92.022,0.830,Rock
21,76.0,3.860e-01,0.490,1.457e+05,0.715,0.000e+00,0.311,-5.549,0.048,130.726,0.866,Rock
22,53.0,1.330e-02,0.229,2.157e+05,0.871,2.180e-06,0.266,-4.558,0.103,86.965,0.395,Rock
23,53.0,2.220e-01,0.474,3.529e+05,0.382,1.950e-02,0.149,-13.291,0.025,80.800,0.690,Rock
24,29.0,9.160e-01,0.230,6.646e+05,0.041,2.220e-01,0.086,-23.741,0.046,120.406,0.105,Classical
25,39.0,3.510e-03,0.534,2.870e+05,0.653,2.050e-02,0.254,-7.358,0.031,155.693,0.434,Blues
26,37.0,1.060e-02,0.204,1.374e+05,0.104,8.280e-01,0.136,-21.608,0.046,68.323,0.032,Classical
27,40.0,7.020e-01,0.674,2.467e+05,0.528,1.630e-05,0.080,-6.939,0.045,88.105,0.955,Jazz
28,62.0,2.340e-02,0.628,2.107e+05,0.797,3.570e-06,0.112,-6.103,0.037,120.406,0.497,Rock
29,77.0,3.230e-01,0.606,1.825e+05,0.652,0.000e+00,0.201,-6.982,0.028,97.155,0.476,Rock
30,35.0,6.120e-04,0.292,3.016e+05,0.970,4.030e-01,0.308,-3.615,0.132,109.800,0.351,Jazz
31,68.0,1.540e-01,0.710,1.807e+05,0.470,0.000e+00,0.643,-9.330,0.142,80.027,0.581,Hip-Hop
32,64.0,7.950e-01,,1.887e+05,0.354,1.070e-04,0.088,-11.112,0.031,73.007,,Blues
33,62.0,,0.560,2.210e+05,,1.340e-01,0.299,-4.481,0.032,132.009,0.807,Rock
34,41.0,1.180e-02,0.854,,0.493,,,-9.996,0.104,,0.582,Jazz
35,53.0,7.460e-01,0.561,2.255e+05,0.891,0.000e+00,0.109,-4.771,0.305,91.316,0.690,Hip-Hop
36,55.0,5.600e-03,0.577,2.007e+05,0.934,0.000e+00,0.048,-3.999,0.128,137.003,0.540,Rock
37,69.0,1.300e-02,0.649,2.085e+05,0.888,2.230e-06,0.089,-4.807,0.029,100.975,0.553,Alternative
38,62.0,3.260e-01,0.515,2.867e+05,0.505,0.000e+00,0.102,-5.606,0.029,150.063,0.538,Hip-Hop
39,40.0,,0.797,2.841e+05,,1.900e-04,0.065,-12.692,0.038,114.746,0.881,Jazz
40,56.0,1.340e-03,0.684,2.159e+05,0.992,0.000e+00,0.878,-1.893,0.075,133.963,0.757,Rock
41,33.0,1.370e-01,0.472,2.202e+05,0.815,5.060e-05,0.261,-9.725,0.048,131.547,0.593,Blues
42,64.0,3.030e-01,0.399,4.452e+05,0.467,1.860e-02,0.124,-11.763,0.028,120.406,0.525,Rock
43,51.0,6.910e-02,0.557,-1.000e+00,0.610,1.170e-02,0.341,-9.899,0.111,155.966,0.128,Rock
44,68.0,,0.195,2.691e+05,,4.970e-01,0.069,-4.991,0.030,84.710,0.173,Rock
45,35.0,,0.669,1.901e+05,,4.860e-05,0.142,-6.898,0.153,127.994,0.439,Electronic
46,51.0,3.370e-01,0.563,2.116e+05,0.497,2.730e-03,0.162,-7.595,0.035,169.977,0.561,Rock
47,68.0,6.570e-05,0.532,-1.000e+00,0.889,7.060e-03,0.094,-5.474,0.054,93.994,0.508,Rock
48,51.0,2.870e-03,,,0.687,,0.274,-7.792,0.023,100.060,,Rock
49,48.0,1.740e-01,0.843,3.052e+05,0.668,6.660e-05,0.096,-7.236,0.037,125.028,0.378,Country
50,43.0,1.290e-02,0.616,2.071e+05,0.605,0.000e+00,0.112,-4.641,0.093,77.493,0.435,Alternative
51,63.0,3.090e-01,0.635,2.235e+05,0.562,2.010e-06,0.110,-8.920,0.168,181.014,0.288,Hip-Hop
52,58.0,,0.480,2.249e+05,,0.000e+00,0.193,-6.202,0.028,149.957,0.410,Rock
53,53.0,5.400e-03,0.556,2.070e+05,0.702,0.000e+00,0.218,-5.792,,132.330,0.452,Rock
54,42.0,1.460e-05,,2.306e+05,0.943,3.140e-02,0.222,-4.483,0.067,96.006,,Classical
55,66.0,8.210e-04,0.389,1.897e+05,0.748,5.800e-04,0.358,-4.461,0.081,120.406,0.216,Rock
56,53.0,,0.608,1.680e+05,,3.520e-01,0.166,-17.109,0.026,84.780,0.401,Rock
57,28.0,5.310e-03,0.531,2.496e+05,0.964,2.730e-02,0.083,,0.533,150.237,0.198,Electronic
58,70.0,1.800e-04,0.546,2.072e+05,0.959,1.440e-03,0.058,-4.664,0.082,127.831,0.416,Rock
59,67.0,6.090e-02,0.648,,0.750,,,-3.248,0.034,,0.556,Rock
60,37.0,3.330e-01,0.793,,0.479,,0.028,-10.759,0.082,95.990,0.645,Electronic
61,32.0,5.800e-04,0.664,-1.000e+00,0.830,1.130e-01,0.339,-5.021,0.046,94.812,0.906,Electronic
62,25.0,9.730e-01,0.071,2.573e+05,0.017,3.500e-01,0.073,-26.569,0.050,77.780,0.031,Classical
63,66.0,,0.579,,,,0.172,-4.872,,170.593,0.885,Rock
64,54.0,1.810e-01,0.799,2.527e+05,0.665,1.360e-01,0.125,-6.310,,89.498,0.783,Rock
65,49.0,9.460e-02,0.419,2.810e+05,0.748,1.740e-04,0.092,-8.142,0.052,85.020,0.417,Rock
66,15.0,,,1.779e+05,,9.410e-01,0.125,-12.529,0.042,62.838,,Anime
67,45.0,7.840e-01,0.560,2.149e+05,0.204,0.000e+00,0.109,-15.395,0.045,120.138,0.282,Alternative
68,21.0,,,-1.000e+00,,8.230e-02,0.605,,0.056,75.319,,Classical
69,56.0,,0.614,3.236e+05,,5.180e-01,0.108,-8.317,0.032,126.477,0.717,Rock
70,66.0,1.320e-01,0.615,2.513e+05,0.582,3.810e-05,0.119,-10.323,0.040,82.532,0.789,Rock
71,48.0,,0.507,1.830e+05,,0.000e+00,0.147,-4.763,0.118,165.136,0.436,Rock
72,57.0,2.540e-03,0.306,2.325e+05,0.985,6.260e-01,0.130,-6.687,0.082,133.963,0.255,Rock
73,31.0,5.690e-01,0.449,2.496e+05,0.871,1.930e-06,0.401,-2.365,0.071,204.048,0.786,Anime
74,78.0,3.710e-01,0.558,-1.000e+00,0.559,7.490e-06,0.109,-9.222,0.096,78.558,0.620,Hip-Hop
75,33.0,9.380e-03,0.473,2.142e+05,0.802,1.410e-03,0.392,-4.966,0.032,120.406,0.661,Rock
76,42.0,2.050e-01,0.496,1.770e+05,0.895,0.000e+00,0.063,-4.027,0.147,120.406,0.654,Country
77,62.0,1.750e-02,0.409,2.211e+05,0.761,0.000e+00,0.114,-4.514,0.031,155.901,0.271,Rock
78,16.0,2.860e-04,,9.257e+04,0.752,7.850e-01,0.152,-5.760,0.041,95.018,,Anime
79,58.0,7.300e-03,0.491,2.491e+05,0.738,0.000e+00,0.295,-6.730,0.057,162.003,0.524,Rock
80,30.0,2.190e-03,,1.288e+05,0.920,8.140e-01,0.160,-3.098,0.049,82.870,,Blues
81,54.0,2.290e-03,0.547,2.262e+05,0.932,0.000e+00,0.335,-5.237,0.097,134.981,0.513,Rock
82,50.0,8.750e-01,0.653,5.241e+05,0.368,3.050e-03,0.097,-11.567,0.044,117.161,0.249,Jazz
83,55.0,3.490e-01,0.446,2.457e+05,0.519,5.990e-03,0.249,,0.027,151.267,0.383,Country
84,44.0,,0.425,-1.000e+00,,1.240e-02,0.129,-9.072,0.031,73.690,0.311,Country
85,51.0,4.970e-01,0.740,2.204e+05,0.816,0.000e+00,0.195,-4.764,0.076,91.910,0.963,Rock
86,53.0,7.440e-01,0.366,4.981e+05,0.357,1.970e-05,0.110,-6.227,0.034,118.901,0.117,Rock
87,25.0,8.730e-03,0.465,2.430e+05,0.981,0.000e+00,0.354,-2.366,0.203,128.093,0.534,Anime
88,55.0,,,-1.000e+00,,7.930e-05,0.120,-5.855,0.283,207.852,,Hip-Hop
89,54.0,1.610e-02,0.739,2.383e+05,0.539,0.000e+00,0.235,-9.735,0.337,85.082,0.835,Hip-Hop
90,61.0,3.140e-01,0.687,2.043e+05,0.648,1.370e-06,0.289,,0.027,121.341,0.600,Rock
91,43.0,6.100e-01,,-1.000e+00,0.225,5.770e-02,0.060,-16.413,0.050,120.406,,Jazz
92,25.0,,0.584,2.535e+05,,8.570e-02,0.581,-4.090,0.164,127.984,0.053,Electronic
93,55.0,1.780e-01,0.687,2.423e+05,0.651,8.790e-03,0.149,-6.696,0.025,119.937,0.514,Rock
94,52.0,,0.420,3.517e+05,,4.230e-04,0.096,-9.828,0.034,147.949,0.378,Rock
95,12.0,9.910e-01,0.254,1.069e+05,0.203,8.860e-01,0.313,-19.116,0.040,109.666,0.172,Classical
96,62.0,8.550e-02,0.686,1.544e+05,0.670,0.000e+00,0.120,-7.626,0.225,173.915,0.636,Rap
97,62.0,4.100e-02,,2.660e+05,0.659,0.000e+00,0.059,-5.617,0.038,94.853,,Rock
98,55.0,2.710e-01,0.421,2.633e+05,0.633,0.000e+00,0.113,-6.837,0.043,155.715,0.161,Rock
99,70.0,7.350e-03,0.756,1.705e+05,0.814,0.000e+00,0.143,-5.398,0.042,146.990,0.709,Rap
100,28.0,4.220e-01,0.585,2.324e+05,0.726,2.350e-02,0.332,-12.614,0.055,126.105,0.884,Blues
101,52.0,,,1.807e+05,,0.000e+00,0.156,-5.810,0.045,116.030,,Rock
102,56.0,3.920e-01,0.482,3.237e+05,0.550,2.080e-02,0.111,-4.485,0.027,114.435,0.353,Rock
103,60.0,6.880e-02,0.626,-1.000e+00,0.527,2.140e-04,0.372,-9.371,0.109,151.657,0.227,Alternative
104,,5.130e-02,0.395,,0.896,,,-4.262,0.035,,0.350,Rock
105,71.0,5.380e-01,0.404,1.481e+05,0.430,0.000e+00,0.080,-12.327,0.224,180.061,0.641,Rock
106,64.0,2.630e-02,0.540,1.883e+05,0.780,7.120e-06,0.350,-5.872,0.042,144.011,0.514,Rock
107,66.0,3.180e-01,0.695,,0.731,,0.143,-2.150,0.034,122.522,0.497,Rock
108,54.0,,0.565,,,,,-10.793,0.038,,0.591,Rock
109,35.0,1.530e-02,0.550,,0.734,,,-5.720,0.031,,0.592,Country
110,50.0,1.990e-03,0.612,2.061e+05,0.794,0.000e+00,0.078,-5.857,0.038,130.025,0.482,Rock
111,64.0,2.630e-01,0.443,-1.000e+00,0.727,1.410e-04,0.169,-7.951,0.145,160.820,0.566,Blues
112,68.0,,0.497,1.879e+05,,1.980e-05,0.274,-4.308,0.045,148.893,0.385,Rock
113,22.0,9.780e-02,0.189,1.394e+05,0.812,8.750e-01,0.181,-10.686,0.044,123.597,0.276,Electronic
114,70.0,2.010e-01,,2.258e+05,0.779,0.000e+00,0.117,-5.084,0.287,83.332,,Hip-Hop
115,72.0,5.640e-01,0.492,1.641e+05,0.712,9.100e-05,0.357,-7.278,0.691,137.453,0.230,Rap
116,52.0,5.900e-02,0.625,1.581e+05,0.699,0.000e+00,0.231,-10.665,0.478,147.956,0.381,Rap
117,31.0,,0.299,-1.000e+00,,9.390e-01,0.429,-17.152,0.039,136.472,0.127,Classical
118,50.0,1.100e-02,,1.739e+05,0.500,1.200e-02,0.287,-18.390,0.044,105.357,,Country
119,0.0,9.280e-01,0.382,5.884e+05,0.161,5.590e-01,0.120,-19.090,0.053,93.319,0.266,Classical
120,56.0,9.550e-01,0.465,2.849e+05,0.242,2.230e-02,0.126,-10.460,0.030,102.812,0.315,Rock
121,52.0,,0.433,2.549e+05,,2.930e-01,0.159,-6.702,0.034,137.268,0.184,Alternative
122,57.0,4.240e-02,0.629,2.444e+05,0.690,0.000e+00,0.363,-4.894,0.036,102.036,0.307,Rock
123,55.0,3.940e-03,0.507,2.077e+05,0.663,1.890e-04,0.130,-9.163,0.139,94.884,0.327,Rock
124,66.0,2.190e-01,0.701,1.443e+05,0.261,0.000e+00,0.082,-19.846,0.094,97.042,0.890,Alternative
125,43.0,9.890e-01,0.198,-1.000e+00,0.038,9.690e-01,0.170,-29.885,0.044,136.392,0.127,Classical
126,11.0,9.290e-01,0.563,1.426e+05,0.252,6.110e-05,0.126,-10.691,,111.721,0.079,Anime
127,60.0,2.700e-01,0.546,,0.838,,,-3.510,0.032,,0.719,Rock
128,54.0,8.640e-01,0.736,1.820e+05,0.297,1.490e-05,0.061,-9.648,0.035,120.406,0.186,Rock
129,50.0,2.870e-03,0.517,2.601e+05,0.561,0.000e+00,0.556,,0.035,139.959,0.149,Alternative
130,53.0,,0.138,2.575e+05,,7.860e-01,0.089,-7.976,0.044,170.342,0.360,Rock
131,47.0,5.200e-01,0.561,1.846e+05,0.715,0.000e+00,0.119,-6.344,0.042,153.956,0.453,Rock
132,61.0,3.510e-01,0.541,1.995e+05,0.483,4.000e-01,0.111,-10.675,0.051,80.730,0.641,Rock
133,57.0,3.120e-01,0.605,-1.000e+00,0.605,5.110e-03,0.060,-7.722,0.084,147.736,0.418,Rock
134,74.0,,0.655,-1.000e+00,,0.000e+00,0.409,-3.451,0.059,91.035,0.165,Rap
135,65.0,4.310e-01,0.566,2.335e+05,0.766,0.000e+00,0.101,-5.036,0.040,120.406,0.547,Rock
136,36.0,8.650e-01,0.124,1.795e+05,0.309,8.000e-01,0.103,,0.035,63.827,0.080,Classical
137,63.0,5.910e-06,0.382,2.983e+05,0.867,5.810e-01,0.196,-7.426,0.040,87.309,0.453,Rock
138,51.0,,0.606,1.972e+05,,7.140e-05,0.111,-5.726,0.036,132.004,0.490,Country
139,57.0,7.350e-01,0.717,1.464e+05,0.373,0.000e+00,0.303,,0.061,138.513,0.538,Rock
140,65.0,6.310e-04,0.246,2.127e+05,0.768,3.010e-01,0.102,-7.480,0.039,169.873,0.350,
141,38.0,6.370e-01,0.752,5.535e+05,0.791,7.510e-01,0.100,-12.400,0.055,116.004,0.110,Electronic
142,52.0,2.710e-02,0.691,2.220e+05,0.754,7.190e-02,0.881,-8.136,0.037,144.085,0.924,Rock
143,55.0,2.260e-02,,2.246e+05,0.550,2.050e-01,0.043,-7.427,0.026,81.814,,Rock
144,50.0,7.490e-02,0.791,3.084e+05,0.535,1.960e-06,0.156,-13.261,0.035,127.488,0.963,Blues
145,44.0,2.630e-01,0.841,2.940e+05,0.835,0.000e+00,0.108,-6.191,0.308,133.024,0.702,Hip-Hop
146,54.0,5.230e-02,0.694,2.153e+05,0.951,3.380e-03,0.293,-5.400,,120.014,0.740,Rock
147,47.0,2.300e-01,0.622,1.962e+05,0.448,0.000e+00,0.102,-10.709,0.026,120.406,0.553,Alternative
148,41.0,8.730e-02,0.364,1.879e+05,0.845,1.400e-06,0.084,-4.115,,130.022,0.428,Blues
149,41.0,,,2.243e+05,,0.000e+00,0.111,-5.159,0.029,82.993,,Country
150,36.0,9.000e-01,0.678,1.433e+05,0.327,1.580e-01,0.111,-9.072,0.029,113.803,0.557,Anime
151,66.0,,0.733,2.270e+05,,0.000e+00,0.151,-6.870,0.044,138.034,0.259,Rap
152,30.0,1.450e-02,0.519,2.346e+05,0.576,3.920e-01,0.201,-7.705,0.029,139.981,0.116,Electronic
153,66.0,1.060e-01,0.660,2.002e+05,0.799,0.000e+00,0.154,-4.644,0.100,125.966,0.475,Rock
154,76.0,,0.657,2.669e+05,,0.000e+00,0.254,-4.938,0.078,93.985,0.726,Hip-Hop
155,64.0,6.640e-01,0.403,2.126e+05,0.450,7.570e-06,0.095,-6.314,,147.694,0.116,Rock
156,52.0,1.750e-02,0.672,5.051e+05,0.792,1.190e-02,0.313,-6.436,0.033,146.907,0.649,Rock
157,42.0,6.660e-01,0.656,1.871e+05,0.707,0.000e+00,0.170,-3.841,0.029,126.057,0.473,Country
158,60.0,1.030e-01,0.401,6.000e+04,0.532,0.000e+00,0.478,-11.554,0.508,84.777,0.413,Rap
159,62.0,1.980e-02,0.600,2.775e+05,0.912,6.520e-05,0.088,-3.449,0.072,110.339,0.506,Rock
160,70.0,4.040e-01,0.629,-1.000e+00,0.601,0.000e+00,0.058,-7.508,0.309,199.921,0.612,Hip-Hop
161,66.0,9.410e-03,,2.083e+05,0.837,0.000e+00,0.372,-5.608,0.045,140.495,,Rock
162,69.0,1.970e-03,0.352,-1.000e+00,0.912,0.000e+00,0.193,-4.253,0.072,166.795,0.351,Rock
163,66.0,1.730e-01,0.680,1.907e+05,0.738,3.600e-04,0.370,-4.881,,105.015,0.675,Rock
164,37.0,9.880e-01,0.668,,0.243,,,-11.664,0.054,,0.668,Jazz
165,42.0,6.330e-01,0.606,2.183e+05,0.342,6.840e-05,0.297,-13.197,0.030,78.019,0.432,Jazz
166,48.0,8.060e-03,0.520,2.592e+05,0.963,1.510e-04,0.175,-2.662,0.050,155.934,0.567,Anime
167,54.0,5.450e-05,0.483,2.501e+05,0.962,9.610e-06,0.273,-2.930,0.107,88.003,0.459,Alternative
168,50.0,2.250e-04,,2.811e+05,0.905,1.990e-03,0.072,-6.514,0.049,126.793,,Electronic
169,49.0,,0.486,-1.000e+00,,2.980e-04,0.674,-3.611,0.064,117.260,0.142,Hip-Hop
170,61.0,5.870e-05,0.248,3.112e+05,0.988,8.400e-01,0.323,-3.740,0.144,120.406,0.149,Rock
171,58.0,,0.518,3.033e+05,,7.630e-06,0.109,-7.106,,98.022,0.161,Rock
172,51.0,,0.498,2.274e+05,,0.000e+00,0.169,-5.340,0.033,160.043,0.695,Rock
173,68.0,2.210e-01,0.588,2.784e+05,0.301,2.360e-03,0.128,-14.979,,112.458,0.190,Rock
174,47.0,1.110e-01,0.690,2.681e+05,0.740,8.070e-01,0.090,-5.509,0.074,144.935,0.363,Electronic
175,38.0,3.060e-02,0.443,2.513e+05,0.756,1.210e-03,0.330,-9.216,0.044,83.797,0.346,Blues
176,55.0,1.220e-01,0.500,1.738e+05,0.854,0.000e+00,0.079,-5.151,0.095,94.960,0.404,Rock
177,52.0,2.970e-03,0.399,,0.925,,,-5.450,0.038,,0.145,Electronic
178,27.0,1.100e-03,0.327,3.081e+05,0.972,3.480e-03,0.082,-3.489,0.469,120.406,0.103,Anime
179,30.0,1.120e-01,0.394,3.257e+05,0.348,2.570e-02,0.294,-10.197,0.036,127.543,0.538,Blues
180,56.0,,0.517,1.873e+05,,0.000e+00,0.166,-6.152,0.081,150.134,0.371,Rock
181,67.0,2.130e-02,,2.450e+05,0.614,1.650e-01,0.310,-7.528,0.043,119.837,,Rock
182,68.0,1.290e-01,,2.097e+05,0.650,0.000e+00,0.113,-5.981,0.038,117.992,,Rock
183,53.0,3.550e-02,0.327,2.076e+05,0.948,5.150e-01,0.126,,0.071,177.328,0.469,Rock
184,58.0,,0.839,-1.000e+00,,3.760e-04,0.116,-4.181,0.116,115.005,0.600,Hip-Hop
185,62.0,1.980e-04,0.390,1.770e+05,0.910,0.000e+00,0.156,-3.268,0.133,162.253,0.644,Rock
186,55.0,1.260e-01,0.779,2.174e+05,0.902,0.000e+00,0.242,-2.975,0.169,95.321,0.820,Rap
187,62.0,4.720e-01,0.757,2.009e+05,0.614,0.000e+00,0.161,,,90.523,0.616,Alternative
188,29.0,,0.847,1.836e+05,,3.520e-02,0.115,-15.243,,126.902,0.741,Blues
189,72.0,,0.562,3.750e+05,,0.000e+00,0.170,-5.065,0.369,159.517,0.231,Hip-Hop
190,33.0,,0.615,2.648e+05,,1.280e-02,0.127,-7.503,0.028,155.972,0.383,Jazz
191,72.0,4.110e-01,0.673,2.151e+05,0.395,5.460e-03,0.122,,0.123,170.074,0.137,Rap
192,56.0,8.320e-02,,2.685e+05,0.835,9.820e-03,0.077,-6.553,0.060,144.641,,Rock
193,40.0,3.030e-04,0.711,2.841e+05,0.954,8.340e-01,0.070,-7.914,0.071,124.982,0.897,Electronic
194,30.0,,0.442,3.983e+05,,1.490e-01,0.129,-10.696,0.062,97.643,0.510,Blues
195,60.0,3.160e-01,0.680,-1.000e+00,0.701,4.720e-06,0.111,-10.360,0.036,108.287,0.933,Rock
196,58.0,9.100e-03,0.668,2.996e+05,0.803,1.820e-03,0.571,-11.282,0.046,115.386,0.423,Rock
197,48.0,9.510e-01,0.498,1.938e+05,0.097,0.000e+00,0.105,-16.482,0.043,144.077,0.390,Country
